Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_900199725.1	PRJEB21891	Cytobacillus massiliigabonensis		Marseille-P2639					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-01-02	FZRJ01	9
GCF_030813435.1	ASM3081343v1	Evansella vedderi		DSM 9768					GCF_030813435.1-RS_2024_08_20	Contig	2023-08-18	JAUSUG01	
GCF_009696445.1	ASM969644v1	Porcincola intestinalis		Oil+RF-744-WCA-WT-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-11-22	VULZ01	
GCF_900215205.1	IMG-taxon 2675903134 annotated assembly	Paractinoplanes atraurantiacus		CGMCC 4.6857					GCF_900215205.1-RS_2024_08_04	Scaffold	2017-09-28	OBDY01	71
GCF_025566885.1	ASM2556688v1	Brotonthovivens ammoniilytica		Sanger_109					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2022-10-04	JAOQJQ01	16
GCF_012034275.1	ASM1203427v1	Nonomuraea composti		FMUSA5-5					GCF_012034275.1-RS_2024_05_19	Contig	2020-04-05	JAATEP01	
GCF_003258945.1	ASM325894v1	Roseicella frigidaeris		DB1506					GCF_003258945.1-RS_2024_04_17	Contig	2018-06-20	QLIX01	
GCF_000987775.1	ASM98777v1	Arsukibacterium ikkense		GCM72					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2015-05-04	LAHO01	
GCF_014651535.1	ASM1465153v1	Salinimicrobium marinum		KCTC 12719					GCF_014651535.1-RS_2024_09_02	Contig	2020-09-12	BMXB01	
GCF_030812915.1	ASM3081291v1	Alkalibacillus salilacus		DSM 16460					GCF_030812915.1-RS_2024_08_20	Contig	2023-08-18	JAUSTQ01	
GCF_013141765.1	ASM1314176v1	Paenibacillus foliorum		LMG 31456					GCF_013141765.1-RS_2024_09_29	Contig	2020-05-22	WHOD01	
GCF_039537705.1	ASM3953770v1	Georgenia daeguensis		JCM 17459					GCF_039537705.1-RS_2024_05_10	Scaffold	2024-02-23	BAABBA01	110
GCF_014202575.1	ASM1420257v1	Texcoconibacillus texcoconensis		DSM 24696					GCF_014202575.1-RS_2024_05_05	Scaffold	2020-08-14	JACHHB01	38
GCF_009728485.1	ASM972848v1	Prevotella vespertina		A2879					GCF_009728485.1-RS_2024_10_23	Scaffold	2019-12-03	VVIQ01	24
GCF_018531165.1	ASM1853116v1	Geobacter grbiciae		DSM 13689					GCF_018531165.1-RS_2024_05_06	Contig	2021-05-26	JAHDIW01	
GCF_030068455.1	ASM3006845v1	Roseofilum casamattae BLCC-M143		BLCC-M143					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-05-24	JAQOSQ01	
GCF_002879885.1	ASM287988v1	Trinickia dabaoshanensis		GIMN1.004					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-01-14	PNYA01	
GCF_039529815.1	ASM3952981v1	Amycolatopsis minnesotensis		JCM 14545					GCF_039529815.1-RS_2024_05_10	Scaffold	2024-02-23	BAAANN01	161
GCF_002104455.1	ASM210445v1	Colwellia chukchiensis		CGMCC 1.9127					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-04-21	NBOC01	
GCF_009857605.1	ASM985760v1	Duganella levis		CY42W					GCF_009857605.1-RS_2024_08_26	Contig	2020-01-12	WWCT01	
GCF_025847235.1	ASM2584723v1	Flavobacterium shii		LS1R49					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-10-25	JAOZEW01	
GCF_003955685.1	ASM395568v1	Corynebacterium hylobatis		YIM 101343					GCF_003955685.1-RS_2024_08_08	Contig	2018-12-18	RXHJ01	
GCF_010500835.1	ASM1050083v1	Aurantimonas aggregata		KCTC 52919					GCF_010500835.1-RS_2024_05_05	Scaffold	2020-02-12	JAAAMJ01	95
GCF_009735315.1	ASM973531v1	Kocuria sediminis		JCM 17929					GCF_009735315.1-RS_2024_08_20	Scaffold	2019-12-08	WOGU01	65
GCF_003966155.1	ASM396615v1	Halomonas nitroreducens		11S					GCF_003966155.1-RS_2024_05_04	Contig	2018-12-23	RXNS01	
GCF_023195895.1	ASM2319589v1	Paenibacillus mellifer		MBLB2552					GCF_023195895.1-RS_2024_08_29	Contig	2022-05-01	JALPRK01	
GCF_004804315.1	ASM480431v1	Flagellimonas onchidii		XY-359					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-04-19	SRXX01	57
GCF_039533405.1	ASM3953340v1	Streptomyces levis		JCM 6924					GCF_039533405.1-RS_2024_05_10	Scaffold	2024-02-23	BAAATM01	40
GCF_902813205.1	Bartonella_capreoli_DSM_21569	Bartonella capreoli		DSM 21569					GCF_902813205.1-RS_2024_05_05	Scaffold	2021-03-19	CADDZX01	439
GCF_000970675.1	ASM97067v1	Domibacillus tundrae		PAMC 80007					GCF_000970675.1-RS_2024_05_02	Contig	2015-04-08	LAJA01	
GCF_022008395.1	ASM2200839v1	Aequorivita xiaoshiensis		F64183					GCF_022008395.1-RS_2024_04_01	Contig	2022-02-04	JAIRBB01	
GCF_039537365.1	ASM3953736v1	Streptomyces gulbargensis		JCM 16956					GCF_039537365.1-RS_2024_05_11	Scaffold	2024-02-23	BAABAJ01	140
GCF_030362935.1	ASM3036293v1	Thiopseudomonas acetoxidans		CY1220					GCF_030362935.1-RS_2024_06_28	Contig	2023-06-27	JAUCDY01	
GCF_900176285.1	IMG-taxon 2585428172 annotated assembly	Desulfacinum hydrothermale DSM 13146		DSM 13146					GCF_900176285.1-RS_2024_05_03	Scaffold	2017-04-08	FWXF01	59
GCF_900143235.1	IMG-taxon 2582580729 annotated assembly	Erythrobacter sanguineus		DSM 11032					GCF_900143235.1-RS_2024_05_03	Contig	2016-12-03	FRDF01	
GCF_021462265.1	ASM2146226v1	Streptomyces shenzhenensis		DSM 42034					GCF_021462265.1-RS_2024_08_29	Contig	2022-01-13	JAJONF01	
GCF_003202165.1	ASM320216v1	Halomonas heilongjiangensis		9-2					GCF_003202165.1-RS_2024_08_20	Scaffold	2018-06-07	PDOH01	60
GCF_002776695.1	ASM277669v1	Bradyrhizobium nitroreducens		TSA1					GCF_002776695.1-RS_2024_05_26	Scaffold	2017-11-16	LFJC01	15
GCF_009910325.1	ASM991032v1	Isachenkonia alkalipeptolytica		Z-1701					GCF_009910325.1-RS_2024_08_24	Contig	2020-01-21	SUMG01	
GCF_900167555.1	IMG-taxon 2590828806 annotated assembly	Gemmiger formicilis		ATCC 27749					GCF_900167555.1-RS_2024_03_30	Scaffold	2017-03-04	FUYF01	92
GCF_000772535.1	ASM77253v1	Chelonobacter oris		1662					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-11-05	JSUM01	
GCF_903819165.1	1804121828	Aedoeadaptatus nemausensis		1804121828					GCF_903819165.1-RS_2024_05_05	Scaffold	2020-07-18	CAIJCS01	79
GCF_018437275.1	ASM1843727v1	Fructobacillus broussonetiae		M2-14					GCF_018437275.1-RS_2024_03_27	Contig	2021-05-21	JAAMFK01	
GCF_001493375.1	Streptomyces specialis	Streptomyces specialis		GW41-1564T					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-12-22	FAXE01	143
GCF_008806755.1	ASM880675v1	Tenacibaculum aiptasiae		a4					GCF_008806755.1-RS_2024_10_23	Scaffold	2019-10-02	WAAU01	87
GCF_024733845.1	ASM2473384v1	Moorella sulfitireducens		SLA38					GCF_024733845.1-RS_2024_04_08	Contig	2022-08-22	JANRHG01	
GCF_039531545.1	ASM3953154v1	Dietzia cercidiphylli		JCM 16002					GCF_039531545.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAQG01	40
GCF_017873435.1	ASM1787343v1	Paenibacillus turicensis		DSM 14349					GCF_017873435.1-RS_2024_04_29	Contig	2021-04-08	JAGGKG01	
GCF_914768045.1	LMG 28360	Snodgrassella communis		LMG 28360					GCF_914768045.1-RS_2024_03_28	Contig	2022-02-17	CAJZCD01	
GCF_002210225.1	ASM221022v1	Geofilum rhodophaeum		HF401					GCF_002210225.1-RS_2024_10_22	Scaffold	2017-06-28	MWUJ01	84
GCF_012933385.1	ASM1293338v1	Paenibacillus lemnae		L7-75					GCF_012933385.1-RS_2024_05_05	Contig	2020-04-29	JABBPN01	
GCF_025995175.1	ASM2599517v1	Asaia krungthepensis NRIC 0535		NRIC 0535					GCF_025995175.1-RS_2024_09_02	Contig	2022-08-03	BAPV01	
GCF_022378335.1	ASM2237833v1	Croceicoccus hydrothermalis		JLT1					GCF_022378335.1-RS_2024_03_28	Scaffold	2022-02-23	JAIQCI01	96
GCF_000745425.1	ASM74542v1	Beijerinckia mobilis		UQM 1969					GCF_000745425.1-RS_2024_08_20	Scaffold	2014-08-28	JQJH01	57
GCF_900111105.1	IMG-taxon 2651870171 annotated assembly	Rosenbergiella nectarea		8N4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-10-31	FOGC01	30
GCF_019039105.1	ASM1903910v1	Desertibacillus haloalkaliphilus		KJ1-10-99					GCF_019039105.1-RS_2024_08_03	Scaffold	2021-06-26	JAHPIV01	683
GCF_009687905.1	ASM968790v1	Lacticaseibacillus zhaodongensis		1206-1					GCF_009687905.1-RS_2024_08_26	Contig	2019-11-15	BLBG01	
GCF_011421635.1	ASM1142163v1	Paenibacillus turpanensis		YIM B00363					GCF_011421635.1-RS_2024_04_19	Contig	2020-03-18	WTLI01	
GCF_900112815.1	IMG-taxon 2634166321 annotated assembly	Blastococcus tunisiensis		DSM 46838					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-11-02	FOND01	43
GCF_019457905.1	ASM1945790v1	Flagellimonas abyssi		W52					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-08-07	JAHZSV01	
GCF_039530425.1	ASM3953042v1	Arthrobacter parietis		JCM 14917					GCF_039530425.1-RS_2024_05_16	Scaffold	2024-02-23	BAAAON01	11
GCF_014647655.1	ASM1464765v1	Deinococcus malanensis		JCM 30331					GCF_014647655.1-RS_2024_09_02	Scaffold	2020-09-12	BMPP01	76
GCF_039532825.1	ASM3953282v1	Streptomyces vastus		JCM 4524					GCF_039532825.1-RS_2024_05_10	Scaffold	2024-02-23	BAAASJ01	126
GCF_039522025.1	ASM3952202v1	Deinococcus depolymerans		JCM 14368					GCF_039522025.1-RS_2024_05_10	Scaffold	2024-02-23	BAAADB01	38
GCF_900100605.1	IMG-taxon 2675903142 annotated assembly	Sinosporangium album		CPCC 201354					GCF_900100605.1-RS_2024_03_28	Scaffold	2016-10-21	FNCN01	98
GCF_014642655.1	ASM1464265v1	Pullulanibacillus camelliae		CGMCC 1.15371					GCF_014642655.1-RS_2024_09_02	Contig	2020-09-12	BMIR01	
GCF_025567085.1	ASM2556708v1	Bovifimicola ammoniilytica		Sanger_97					GCF_025567085.1-RS_2024_10_25	Scaffold	2022-10-04	JAOQJN01	26
GCF_024505145.1	ASM2450514v1	Streptomyces rugosispiralis		RCU-064					GCF_024505145.1-RS_2024_10_11	Contig	2022-08-01	JANIAA01	
GCF_017921975.2	ASM1792197v2	Hymenobacter terricola		3F2					GCF_017921975.2-RS_2024_10_23	Contig	2021-10-12	JAGEMO02	
GCF_027789125.1	ASM2778912v1	Paenibacillus aestuarii		CJ25					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-01-12	JAQFVF01	92
GCF_033949435.1	ASM3394943v1	Methylomonas defluvii		OY6					GCF_033949435.1-RS_2024_04_21	Contig	2023-11-25	JAXARY01	
GCF_026283965.1	ASM2628396v1	Dyella subtropica		RXD159					GCF_026283965.1-RS_2024_05_12	Contig	2022-11-22	JAPDPD01	
GCF_014644455.1	ASM1464445v1	Caldovatus sediminis		CGMCC 1.16330					GCF_014644455.1-RS_2024_09_02	Scaffold	2020-09-12	BMKS01	43
GCF_020404745.1	ASM2040474v1	Aquibacillus saliphilus		KHM2					GCF_020404745.1-RS_2024_08_08	Contig	2021-10-09	JAIZAP01	
GCF_007992115.1	ASM799211v1	Aeromicrobium flavum		NBRC 107625					GCF_007992115.1-RS_2024_08_26	Contig	2019-07-31	BJZQ01	
GCF_014647175.1	ASM1464717v1	Deinococcus daejeonensis		JCM 16918					GCF_014647175.1-RS_2024_09_02	Contig	2020-09-12	BMOR01	
GCF_016863035.1	ASM1686303v1	Microbispora corallina		NBRC 16416					GCF_016863035.1-RS_2024_08_29	Contig	2021-01-29	BOOC01	
GCF_001029445.1	ASM102944v1	Photobacterium aquae		CGMCC 1.12159					GCF_001029445.1-RS_2024_03_28	Contig	2015-06-18	LDOT01	
GCF_014649035.1	ASM1464903v1	Streptomyces sindenensis		JCM 4164					GCF_014649035.1-RS_2024_09_02	Contig	2020-09-12	BMSG01	
GCF_022410515.1	ASM2241051v1	Shewanella cutis		PS-2					GCF_022410515.1-RS_2024_05_13	Contig	2022-02-28	JACSDI01	
GCF_010645065.1	ASM1064506v1	Flavobacterium fluviatile		TAPY14					GCF_010645065.1-RS_2024_04_23	Contig	2020-02-14	JAADZW01	
GCF_003293845.1	ASM329384v1	Flavobacterium tibetense		YH5					GCF_003293845.1-RS_2024_10_23	Scaffold	2018-07-09	QLST01	56
GCF_009697385.1	ASM969738v1	Selenomonas montiformis		WCA-380-WT-3B3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-11-23	VUNL01	
GCF_001544915.2	ASM154491v2	Caballeronia pedi					LMG 29323		GCF_001544915.2-RS_2024_04_22	Contig	2016-04-20	FCOE02	
GCF_040096355.1	ASM4009635v1	Maccoya intestinihominis		CLA-AA-H185					GCF_040096355.1-RS_2024_06_30	Contig	2024-06-07	JBBMEX01	
GCF_039531635.1	ASM3953163v1	Pseudonocardia ailaonensis		JCM 16009					GCF_039531635.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAQK01	47
GCF_022410465.1	ASM2241046v1	Christiangramia crocea		YB25					GCF_022410465.1-RS_2024_04_15	Contig	2022-02-28	JAJSON01	
GCF_025994195.1	ASM2599419v1	Asaia spathodeae NBRC 105894		NBRC 105894					GCF_025994195.1-RS_2024_09_02	Contig	2022-08-03	BAPY01	
GCF_001545075.1	ASM154507v2	Caballeronia ptereochthonis					LMG 29326		GCF_001545075.1-RS_2024_09_15	Contig	2016-04-20	FCOB02	
GCF_023156235.1	ASM2315623v1	Marinobacter goseongensis		KCTC 12515					GCF_023156235.1-RS_2024_05_13	Contig	2022-04-27	JAKZAI01	
GCF_039414295.1	ASM3941429v1	Anoxynatronum sibiricum		Z-7981					GCF_039414295.1-RS_2024_05_05	Contig	2024-05-04	JBCITM01	
GCF_002858925.1	ASM285892v1	Caulobacter zeae		410					GCF_002858925.1-RS_2024_03_28	Contig	2018-01-03	PJRS01	
GCF_039539485.1	ASM3953948v1	Celeribacter arenosi		JCM 17190					GCF_039539485.1-RS_2024_05_11	Scaffold	2024-02-23	BAABDF01	11
GCF_002973605.1	ASM297360v1	Abditibacterium utsteinense		LMG 29911					GCF_002973605.1-RS_2024_04_22	Contig	2018-03-06	NIGF01	
GCF_019351405.1	ASM1935140v1	Stakelama flava		CBK3Z-3					GCF_019351405.1-RS_2024_05_06	Scaffold	2021-07-26	JAHWZX01	34
GCF_900116665.1	IMG-taxon 2663762752 annotated assembly	Pustulibacterium marinum		CGMCC 1.12333					GCF_900116665.1-RS_2024_10_22	Scaffold	2016-11-02	FPBK01	32
GCF_004004555.2	ASM400455v2	Methylobacterium oryzihabitans		TER-1					GCF_004004555.2-RS_2024_05_04	Contig	2019-01-08	SACP01	
GCF_000705355.1	SOAPdenovo for version 1.05 of Rhizobium marinus MGL06	Pseudorhizobium marinum		MGL06					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2014-06-12	JMQK01	
GCF_014647055.1	ASM1464705v1	Deinococcus aerolatus		JCM 15442					GCF_014647055.1-RS_2024_09_02	Scaffold	2020-09-12	BMOL01	76
GCF_017052355.1	ASM1705235v1	Sphingomonas pseudosanguinis		DSM 19512					GCF_017052355.1-RS_2024_03_29	Scaffold	2021-02-27	JAFHKV01	111
GCF_003172895.1	ASM317289v1	Leucothrix arctica		IMCC9719					GCF_003172895.1-RS_2024_05_04	Contig	2018-05-26	QGKL01	
GCF_014699005.1	ASM1469900v1	Spirosoma profusum		BT702					GCF_014699005.1-RS_2024_10_23	Contig	2020-09-22	JACWZY01	
GCF_039545055.1	ASM3954505v1	Deinococcus carri		NBRC 110142					GCF_039545055.1-RS_2024_05_11	Contig	2024-03-26	BAABRP01	
GCF_901764995.1	5970_8#10_v2	Actinobacillus porcinus		NM319					GCF_901764995.1-RS_2024_05_04	Scaffold	2019-05-30	CABFKI01	29
GCF_003313505.1	ASM331350v1	Pedobacter nanyangensis		Q-4					GCF_003313505.1-RS_2024_10_23	Scaffold	2018-07-11	QMHO01	25
GCF_003116835.1	ASM311683v1	Lactococcus termiticola		NtB2					GCF_003116835.1-RS_2024_08_12	Contig	2018-05-08	BFFO01	
GCF_029436685.1	ASM2943668v1	Novosphingobium cyanobacteriorum		HBC54					GCF_029436685.1-RS_2024_08_03	Scaffold	2023-03-27	JAROCY01	74
GCF_014384965.1	ASM1438496v1	Jutongia hominis		BX3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-01	JACRSW01	
GCF_001570925.1	ASM157092v1	[Zimmermannella] bifida NBRC 103089		NBRC 103089					GCF_001570925.1-RS_2024_08_19	Contig	2016-02-10	BCSP01	
GCF_018271975.1	ASM1827197v1	Carboxylicivirga mesophila		JCM 18290					GCF_018271975.1-RS_2024_04_26	Contig	2021-05-04	JAGUCN01	
GCF_003034915.1	ASM303491v1	Mesorhizobium helmanticense		CSLC115N					GCF_003034915.1-RS_2024_04_30	Contig	2018-04-05	PZJX01	
GCF_900100175.1	IMG-taxon 2634166324 annotated assembly	Ferrimonas sediminum		DSM 23317					GCF_900100175.1-RS_2024_05_03	Scaffold	2016-10-21	FNEM01	45
GCF_900099815.1	IMG-taxon 2622736510 annotated assembly	Psychroflexus sediminis		DSM 19803					GCF_900099815.1-RS_2024_10_22	Scaffold	2016-10-21	FNCW01	36
GCF_017581925.1	ASM1758192v1	Gelidibacter pelagius		DF109					GCF_017581925.1-RS_2024_10_23	Contig	2021-03-24	JAGEVG01	
GCF_019711635.1	ASM1971163v1	Qipengyuania huizhouensis		YG19					GCF_019711635.1-RS_2024_05_11	Contig	2021-08-22	JAIGNT01	
GCF_017813395.1	ASM1781339v1	Pararoseomonas baculiformis		SSH11					GCF_017813395.1-RS_2024_04_29	Scaffold	2021-04-06	JAGIZB01	109
GCF_000797445.1	ASM79744v1	Lacinutrix jangbogonensis		PAMC 27137					GCF_000797445.1-RS_2024_10_22	Contig	2014-12-04	JSWF01	
GCF_039539565.1	ASM3953956v1	Hymenobacter fastidiosus		JCM 17224					GCF_039539565.1-RS_2024_05_11	Scaffold	2024-02-23	BAABDJ01	51
GCF_003121585.1	ASM312158v1	Nocardioides speluncae		YIM ART13					GCF_003121585.1-RS_2024_03_28	Contig	2018-05-11	QEOO01	
GCF_004522235.1	ASM452223v1	Amycolatopsis nivea		CFH S0261					GCF_004522235.1-RS_2024_08_06	Scaffold	2019-03-29	SDLT01	133
GCF_016595155.1	ASM1659515v1	Advenella mandrilli		WQ 585					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-01-09	JAENGP01	
GCF_900496965.1	LMG 3411T	Achromobacter agilis		LMG 3411			LMG 3411		GCF_900496965.1-RS_2024_04_22	Contig	2019-01-25	UFQB01	
GCF_020181595.2	ASM2018159v2	[Mycobacterium] vasticus		MYC017					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2024-01-09	JAYJJQ01	
GCF_943192895.1	Veillonella_sp_nov1_DSM110113	Veillonella intestinalis		DSM 110113					GCF_943192895.1-RS_2024_04_01	Contig	2022-06-10	CALPCB01	
GCF_029961155.1	ASM2996115v1	Pontibacterium granulatum		A-1					GCF_029961155.1-RS_2024_05_12	Contig	2023-05-09	JASBRH01	
GCF_900108945.1	IMG-taxon 2654588103 annotated assembly	Paraburkholderia diazotrophica		LMG 26031					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-10-31	FNYE01	112
GCF_020164555.1	ASM2016455v1	Salegentibacter lacus		LM13S					GCF_020164555.1-RS_2024_10_23	Scaffold	2021-09-25	JAIQZB01	128
GCF_000686725.1	ASM68672v1	Clostridium akagii DSM 12554		DSM 12554					GCF_000686725.1-RS_2024_04_11	Scaffold	2014-05-08	JMLK01	50
GCF_900107625.1	IMG-taxon 2622736593 annotated assembly	Bizionia paragorgiae		DSM 23842					GCF_900107625.1-RS_2024_10_22	Scaffold	2016-10-22	FNQK01	41
GCF_002844575.1	ASM284457v1	Heyndrickxia camelliae		7578-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2017-12-18	PIQO01	
GCF_900104555.1	IMG-taxon 2651870172 annotated assembly	Litchfieldia salsa		IBRC-M10078					GCF_900104555.1-RS_2024_03_27	Scaffold	2016-10-21	FNJU01	32
GCF_900110345.1	IMG-taxon 2617270769 annotated assembly	Amphibacillus marinus		CGMCC 1.10434					GCF_900110345.1-RS_2024_05_03	Scaffold	2016-10-31	FODJ01	29
GCF_001570565.1	ASM157056v1	Herbidospora yilanensis		NBRC 106371					GCF_001570565.1-RS_2024_08_08	Scaffold	2016-01-26	BBXE01	67
GCF_039525985.1	ASM3952598v1	Tsukamurella strandjordii		JCM 11487					GCF_039525985.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAII01	21
GCF_019800005.1	ASM1980000v1	Geminicoccus harenae		CPCC 101083					GCF_019800005.1-RS_2024_08_15	Contig	2021-08-30	JABGCL01	
GCF_016765675.1	ASM1676567v1	Neobacillus paridis		YIM B02564					GCF_016765675.1-RS_2024_08_02	Scaffold	2021-01-27	JAESWB01	425
GCF_009932555.1	ASM993255v1	Steroidobacter agaridevorans		SA29-B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-01-09	BLJO01	29
GCF_003934165.1	ASM393416v1	Pseudaminobacter arsenicus		CB3					GCF_003934165.1-RS_2024_05_01	Scaffold	2018-12-11	RKST01	107
GCF_020907275.1	ASM2090727v1	Pontibacter silvestris		XAAS-R86T					GCF_020907275.1-RS_2024_10_25	Contig	2021-11-21	JAJJWI01	
GCF_003696345.1	ASM369634v1	Pseudoroseomonas wenyumeiae		Z23					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-10-29	RFLX01	196
GCF_003202435.1	ASM320243v1	Flavobacterium cheongpyeongense		IMCC34759					GCF_003202435.1-RS_2024_10_23	Contig	2018-06-07	QJHK01	
GCF_001484765.1	ASM148476v1	Entomohabitans teleogrylli		SCU-B244					GCF_001484765.1-RS_2024_03_28	Scaffold	2016-01-04	LLXO01	115
GCF_039532885.1	ASM3953288v1	Streptomyces nogalater		JCM 4799					GCF_039532885.1-RS_2024_05_10	Scaffold	2024-02-23	BAAASM01	109
GCF_015354315.1	ASM1535431v1	Planobacterium oryzisoli		GCR5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-11-11	JADKYY01	
GCF_004345005.1	ASM434500v1	Extibacter muris		DSM 28560					GCF_004345005.1-RS_2024_06_17	Contig	2019-03-12	SMMX01	
GCF_008086595.1	ASM808659v1	Acetobacterium paludosum		DSM 8237					GCF_008086595.1-RS_2024_04_14	Contig	2019-08-26	RXYA01	
GCF_003946305.1	ASM394630v1	Lacticaseibacillus porcinae		JCM 19617					GCF_003946305.1-RS_2024_03_28	Contig	2018-12-14	RHNS01	
GCF_034086145.1	ASM3408614v1	Winogradskyella aquimaris		KCTC 23502					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-12-04	JAXDAE01	
GCF_016861605.1	ASM1686160v1	Levilactobacillus wangkuiensis		6-5(1)					GCF_016861605.1-RS_2024_09_02	Contig	2021-01-15	BOLM01	
GCF_008369105.1	ASM836910v1	Aquicoccus porphyridii		L1 8-17					GCF_008369105.1-RS_2024_08_07	Contig	2019-09-10	VINQ01	
GCF_004324755.1	ASM432475v1	Propioniciclava sinopodophylli		KCTC 33808					GCF_004324755.1-RS_2024_04_03	Contig	2019-03-04	SDMQ01	
GCF_022487425.1	ASM2248742v1	Amedibacillus hominis		NSJ-176					GCF_022487425.1-RS_2024_03_28	Contig	2022-03-05	JAKVPQ01	
GCF_018101125.2	ASM1810112v2	Streptomyces tardus		P38-E01					GCF_018101125.2-RS_2024_08_29	Scaffold	2021-06-23	JAELVF02	10
GCF_900115595.1	IMG-taxon 2622736594 annotated assembly	Tranquillimonas alkanivorans		DSM 19547					GCF_900115595.1-RS_2024_08_07	Scaffold	2016-11-02	FOXA01	92
GCF_000701525.1	ASM70152v1	Mesoplasma grammopterae ATCC 49580		ATCC 49580					GCF_000701525.1-RS_2024_04_21	Scaffold	2014-06-11	JNJC01	8
GCF_030165005.1	ASM3016500v1	Blastococcus capsensis		BMG 804					GCF_030165005.1-RS_2024_06_04	Contig	2023-06-04	JASNNW01	
GCF_037203605.1	ASM3720360v1	Denitratimonas tolerans		KACC 17565					GCF_037203605.1-RS_2024_05_12	Contig	2024-03-17	JBBDHC01	
GCF_000331515.1	Photobacterium marinum AK15	Photobacterium marinum		AK15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2013-01-11	AMZO01	
GCF_013371085.1	ASM1337108v1	Vreelandella maris		QX-1					GCF_013371085.1-RS_2024_04_07	Contig	2020-06-23	JABWCV01	
GCF_900110255.1	IMG-taxon 2671180039 annotated assembly	Actinacidiphila rubida		CGMCC 4.2026					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2016-10-31	FODD01	112
GCF_009759665.1	ASM975966v1	Bradyrhizobium cajani		1010					GCF_009759665.1-RS_2024_05_26	Contig	2019-12-17	WQNE01	
GCF_014646235.1	ASM1464623v1	Micromonospora sonchi		CGMCC 4.7312					GCF_014646235.1-RS_2024_09_02	Scaffold	2020-09-12	BMNB01	101
GCF_003056355.1	ASM305635v1	Devosia naphthalenivorans		CM5-1					GCF_003056355.1-RS_2024_05_03	Scaffold	2018-04-18	PYVW01	55
GCF_031845265.1	ASM3184526v1	Mesonia ostreae		T-y2					GCF_031845265.1-RS_2024_09_25	Scaffold	2023-09-23	JAVRBG01	38
GCF_900186125.1	ILCC801.fasta	Listeria goaensis		ILCC801					GCF_900186125.1-RS_2024_04_22	Contig	2017-06-30	FYBQ01	
GCF_014647035.1	ASM1464703v1	Sporolactobacillus putidus		JCM 15325					GCF_014647035.1-RS_2024_09_02	Scaffold	2020-09-12	BMOK01	42
GCF_025628885.1	ASM2562888v1	Paraflavisolibacter caeni		LB-8					GCF_025628885.1-RS_2024_04_15	Scaffold	2022-10-08	JAOTIF01	89
GCF_013009345.1	ASM1300934v1	Acinetobacter geminorum		J00019					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-05-11	JABELE01	88
GCF_003259175.1	ASM325917v1	Marinomonas shanghaiensis		DSL-35					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-06-21	QGOK01	
GCF_009765365.1	ASM976536v1	Antarcticirhabdus aurantiaca		R10					GCF_009765365.1-RS_2024_08_08	Contig	2019-12-18	VTOM01	
